Site_Name,Depth_m,Halimeda_cover%,Total_hard_CC%,Platygyra_sp,Acropora_sp,Porites_sp.,Porites_rus,Pocillopora_damicornis,Favia,Dead_coral%
Harbour_reef,3,4,20.2,2.6,2.5,7.3,1,4.8,2,17
Harbour_reef,3,0,37.3,4.5,4.2,15,6.6,3.5,3.5,2.7
Harbour_reef,3,0.14,37.57,3.14,6.71,7.29,15.29,3.14,2,0
Harbour_reef,3,0.1,25.3,0.1,0.3,15.5,2.4,5.7,1.3,6
Harbour_reef,7,47.25,22.5,1.25,2.75,3,6,5,4.5,0.75
Harbour_reef,7,12.9,31.3,8.3,2.2,4.8,4.1,7.1,4.8,0.7
Harbour_reef,7,0,16.85,0.14,5.43,1.57,6.57,3.14,0,4.14
Harbour_reef,12,4.9,13.8,0.6,8.7,2.5,0.3,0.3,1.4,7.8
Harbour_reef,12,0,23.9,0,18.4,3.4,0.9,1.2,0,20.7
Coral_gardens,3,0,35.3,8.9,0.3,7.1,13.1,5.2,0.7,2
Coral_gardens,3,0,5.5,1.4,1,1.1,1.4,0.4,0.2,8.6
Coral_gardens,3,0,21.67,0.11,1.22,10.67,5.78,0.56,3.33,7.89
Coral_gardens,3,0,45.88,1.25,3.13,6.25,17.75,15,2.5,5
Coral_gardens,3,0,24.22,0.22,6.11,7.11,3,6.22,1.56,0.22
Coral_gardens,3,0.14,37.57,3.14,6.71,7.29,15.29,3.14,2,0
Coral_gardens,7,32,27.78,3.11,7.56,7.56,3.67,3.44,2.44,4.56
Coral_gardens,7,19,30.9,0,6.9,5.9,14.1,2.7,1.3,0
Coral_gardens,7,13.67,18.5,2.5,5.33,1.83,4.67,4.17,0,0
Coral_gardens,12,73,8.13,0,2.75,0.63,0,0,4.75,0.63
Coral_gardens,12,80.14,12.72,0.29,10.43,0,0,0,2,6.86
Coral_gardens,12,60.14,7.99,0.71,1.29,2.43,1.71,0.14,1.71,2.71
Blue_cove,3,0,14.6,0.7,1,7,4.4,0.9,0.6,2
Blue_cove,3,0,12.87,1.29,1.29,7.86,0.43,1.29,0.71,27.6
Blue_cove,3,4.5,24.2,3.7,2,9.5,1.5,5.5,2,6.5
Blue_cove,3,0,7.6,0.9,0.4,3.2,2.3,0,0.8,5.5
Blue_cove,3,0.3,26.66,0.7,2.3,6.83,13.83,0,3,0.83
Blue_cove,3,0,14.7,2.7,0.3,6,3.2,2.5,0,2.8
Blue_cove,7,0,28.2,4.2,10,5,4.9,1.9,2.2,4.3
Blue_cove,7,0,22.6,0,2.2,5.2,9.5,4,1.7,1.7
Blue_cove,7,32,58.8,0,18.7,14.4,14.8,9.6,1.3,0
Blue_cove,12,0,25.33,0.67,6.78,5.44,4.78,1.44,6.22,4
Blue_cove,12,0,27.16,4.83,4,6.83,9.83,1.5,0.17,2.67
Blue_cove,12,9.2,22.6,1.3,8.3,8.4,3.8,0.8,0,0.7
